gallery_pt,query_pt,gallery_csv,query_csv,g_x_col,g_y_col,q_x_col,q_y_col,success_radius_m,w_vis,window_size,formation_offset,top_k,epsilon_m,sigma,w_geo,w_angle,w_skip,r1,r5,r10,c1,c5,c10,improvement
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.0,2.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.988913525498894,64.52328159645234,67.62749445676275,19.068736141906875
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.0,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.988913525498894,64.52328159645234,67.1840354767184,19.068736141906875
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.5,1.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.988913525498894,63.8580931263858,66.96230598669624,19.068736141906875
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.5,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,54.880694143167034,65.29284164859001,67.67895878524945,19.08893709327549
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.5,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,54.880694143167034,64.64208242950107,67.67895878524945,19.08893709327549
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.0,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,54.880694143167034,65.0759219088937,67.24511930585683,19.08893709327549
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.0,1.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.767184035476724,63.63636363636363,66.74057649667405,18.847006651884705
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.5,1.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.767184035476724,64.52328159645234,67.1840354767184,18.847006651884705
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.5,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.767184035476724,64.52328159645234,67.40576496674058,18.847006651884705
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.0,3.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.767184035476724,64.7450110864745,66.96230598669624,18.847006651884705
